Counter,Date/time,Latitude,Longitude,Elevation
318,2022-04-18 22:51:57.374019,23.477696416246268,-120.05236126856738,418.122692403139
319,2022-04-18 22:52:12.185756,22.767350790357025,-119.41335466657631,418.09748651497796
320,2022-04-18 22:52:27.025168,22.05256499657347,-118.78038920493798,418.0759454693309
321,2022-04-18 22:52:42.291076,21.314162690065693,-118.13650951245127,418.05781106555673
322,2022-04-18 22:52:57.146613,20.592717876990427,-117.51669634250052,418.04422266930317
323,2022-04-18 22:53:11.965281,19.870383151689577,-116.90480413293236,418.034790069178
324,2022-04-18 22:53:26.845827,19.142446526987992,-116.29647711428342,418.02958878352524
325,2022-04-18 22:53:41.730231,18.411871019690498,-115.69386840988348,418.0287915545024
326,2022-04-18 22:53:56.583013,17.680496302559103,-115.0981053890729,418.0325070372369
327,2022-04-18 22:54:11.844073,16.92672659169651,-114.49150639196912,418.0411379965762
328,2022-04-18 22:54:27.064179,16.172771133721405,-113.89183678536268,418.0547211985136
329,2022-04-18 22:54:41.943729,15.433671003081415,-113.31044223519585,418.07291058259545
330,2022-04-18 22:54:56.844426,14.691646562354583,-112.73278918713241,418.09608991127595
331,2022-04-18 22:55:12.076443,13.931282948108883,-112.1467474624344,418.1250166600096
332,2022-04-18 22:55:27.323652,13.168402110052321,-111.56436747059296,418.1593631676541
333,2022-04-18 22:55:42.224498,12.421281420264096,-110.99909358341735,418.19822332989764
334,2022-04-18 22:55:57.449529,11.656397533921917,-110.42522195188151,418.24341365381997
335,2022-04-18 22:56:12.332177,10.90733414919754,-109.86762807986771,418.2930167842701
336,2022-04-18 22:56:27.171554,10.1592024462494,-109.31475613952493,418.34788159051254
337,2022-04-18 22:56:41.982717,9.411330349266041,-108.76578652355664,418.4080818095049
338,2022-04-18 22:56:56.804076,8.661887458684818,-108.21907955672495,418.47381203848624
339,2022-04-18 22:57:12.002952,7.892351807578296,-107.6609597063803,418.54696373681094
340,2022-04-18 22:57:27.202075,7.121880356193875,-107.1051406549192,418.6259756836778
341,2022-04-18 22:57:42.101823,6.365777805437132,-106.56228614717132,418.7091499955447
342,2022-04-18 22:57:57.296065,5.5940304340172835,-106.01055366009547,418.79982014609396
343,2022-04-18 22:58:12.463191,4.823006385669153,-105.4614157700505,418.8962441182848
344,2022-04-18 22:58:27.274095,4.069581683240167,-104.92653573399849,418.9961129650124
345,2022-04-18 22:58:42.105927,3.3146478756922146,-104.39201835803063,419.1017828171819
346,2022-04-18 22:58:56.915177,2.5605265609294325,-103.85924019748059,419.21293559858617
347,2022-04-18 22:59:11.698849,1.8074692115865048,-103.3281085955157,419.3295081644156
348,2022-04-18 22:59:26.949417,1.0304356502759648,-102.78072463938352,419.4556237238194
349,2022-04-18 22:59:41.768769,0.27528309481176805,-102.24912466191851,419.5838485806481
350,2022-04-18 22:59:56.578447,-0.4793799791768674,-101.71796757662918,419.7175461155146
351,2022-04-18 23:00:11.797162,-1.254790597816697,-101.17203360875007,419.8606804248563
